Year,Month,Community,Total Complaints,Total Number of Callers,data_loaded_at
2019,1,Palo Alto,"44,072",209,2023/09/01 04:13:58 PM
2019,1,Penngrove,44,1,2023/09/01 04:13:58 PM
2019,1,Piedmont,7,1,2023/09/01 04:13:58 PM
2019,1,Pinole,321,1,2023/09/01 04:13:58 PM
2019,1,Portola Valley,"6,249",28,2023/09/01 04:13:58 PM
2019,1,Redwood City,"2,732",19,2023/09/01 04:13:58 PM
2019,1,Richmond,"1,656",3,2023/09/01 04:13:58 PM
2019,1,San Bruno,622,8,2023/09/01 04:13:58 PM
2019,1,San Carlos,232,5,2023/09/01 04:13:58 PM
2019,1,San Francisco,"6,728",54,2023/09/01 04:13:58 PM
2019,1,San Mateo,"1,624",14,2023/09/01 04:13:58 PM
2019,1,Santa Clara,2,1,2023/09/01 04:13:58 PM
2019,1,Santa Cruz,"17,148",128,2023/09/01 04:13:58 PM
2019,1,Saratoga,505,6,2023/09/01 04:13:58 PM
2019,1,Scotts Valley,"9,554",73,2023/09/01 04:13:58 PM
2019,1,Soquel,"7,764",77,2023/09/01 04:13:58 PM
2019,1,South San Francisco,190,15,2023/09/01 04:13:58 PM
2019,1,Stanford,"1,061",5,2023/09/01 04:13:58 PM
2019,1,Sunnyvale,"1,355",10,2023/09/01 04:13:58 PM
2019,1,Union City,392,1,2023/09/01 04:13:58 PM
2019,1,Watsonville,195,1,2023/09/01 04:13:58 PM
2019,1,Woodside,882,12,2023/09/01 04:13:58 PM
2019,2,Alameda,129,3,2023/09/01 04:13:58 PM
2019,2,Aptos,326,11,2023/09/01 04:13:58 PM
2019,2,Atherton,"1,122",6,2023/09/01 04:13:58 PM
2019,2,Belmont,461,6,2023/09/01 04:13:58 PM
2019,2,Ben Lomond,80,6,2023/09/01 04:13:58 PM
2019,2,Berkeley,75,4,2023/09/01 04:13:58 PM
2019,2,Bolinas,1,4,2023/09/01 04:13:58 PM
2019,2,Bonny Doon,60,2,2023/09/01 04:13:58 PM
2019,2,Boulder Creek,111,4,2023/09/01 04:13:58 PM
2019,2,Brisbane,"1,386",22,2023/09/01 04:13:58 PM
2019,2,Brookdale,5,1,2023/09/01 04:13:58 PM
2019,2,Burlingame,23,5,2023/09/01 04:13:58 PM
2019,2,Capitola,"1,264",16,2023/09/01 04:13:58 PM
2019,2,Carmel Valley,253,3,2023/09/01 04:13:58 PM
2019,2,Cupertino,"1,632",1,2023/09/01 04:13:58 PM
2019,2,Daly City,"1,011",6,2023/09/01 04:13:58 PM
2019,2,Danville,3,1,2023/09/01 04:13:58 PM
2019,2,East Palo Alto,71,2,2023/09/01 04:13:58 PM
2019,2,El Granada,350,1,2023/09/01 04:13:58 PM
2019,2,Emerald Hills,702,8,2023/09/01 04:13:58 PM
2019,2,Felton,478,11,2023/09/01 04:13:58 PM
2019,2,Foster City,139,17,2023/09/01 04:13:58 PM
2019,2,Fremont,2,1,2023/09/01 04:13:58 PM
2019,2,Half Moon,18,2,2023/09/01 04:13:58 PM
2019,2,Hayward,349,2,2023/09/01 04:13:58 PM
2019,2,Hillsborough,"1,308",2,2023/09/01 04:13:58 PM
2019,2,Kensington,1,1,2023/09/01 04:13:58 PM
2019,2,Lafayette,25,1,2023/09/01 04:13:58 PM
2019,2,Larkspur,1,1,2023/09/01 04:13:58 PM
2019,2,Los Altos,"14,780",124,2023/09/01 04:13:58 PM
2019,2,Los Altos Hills,"7,669",26,2023/09/01 04:13:58 PM
2019,2,Los Gatos,"11,171",114,2023/09/01 04:13:58 PM
2019,2,Menlo Park,923,20,2023/09/01 04:13:58 PM
2019,2,Millbrae,6,3,2023/09/01 04:13:58 PM
2019,2,Montara,741,1,2023/09/01 04:13:58 PM
2019,2,Moraga,268,3,2023/09/01 04:13:58 PM
2019,2,Morgan Hill,5,1,2023/09/01 04:13:58 PM
2019,2,Mountain View,"3,525",34,2023/09/01 04:13:58 PM
2019,2,Oakland,"8,090",31,2023/09/01 04:13:58 PM
2019,2,Orinda,406,3,2023/09/01 04:13:58 PM
2019,2,Pacifica,"3,108",31,2023/09/01 04:13:58 PM
2019,2,Palo Alto,"38,242",182,2023/09/01 04:13:58 PM
2019,2,Penngrove,30,1,2023/09/01 04:13:58 PM
2019,2,Piedmont,45,1,2023/09/01 04:13:58 PM
2019,2,Pinole,295,1,2023/09/01 04:13:58 PM
2019,2,Portola Valley,"6,137",30,2023/09/01 04:13:58 PM
2019,2,Redwood City,"1,569",14,2023/09/01 04:13:58 PM
2019,2,Redwood Shores,1,1,2023/09/01 04:13:58 PM
2019,2,Richmond,"1,813",2,2023/09/01 04:13:58 PM
2019,2,San Bruno,311,6,2023/09/01 04:13:58 PM
2019,2,San Carlos,163,5,2023/09/01 04:13:58 PM
2019,2,San Francisco,"5,348",43,2023/09/01 04:13:58 PM
2019,2,San Mateo,"2,184",14,2023/09/01 04:13:58 PM
2019,2,Santa Clara,1,1,2023/09/01 04:13:58 PM
2019,2,Santa Cruz,"12,393",115,2023/09/01 04:13:58 PM
2019,2,Saratoga,473,5,2023/09/01 04:13:58 PM
2019,2,Scotts Valley,"6,912",65,2023/09/01 04:13:58 PM
2019,2,Soquel,"5,513",71,2023/09/01 04:13:58 PM
2019,2,South San Francisco,68,10,2023/09/01 04:13:58 PM
2019,2,Stanford,"1,041",5,2023/09/01 04:13:58 PM
2019,2,Sunnyvale,741,7,2023/09/01 04:13:58 PM
2019,2,Union City,378,1,2023/09/01 04:13:58 PM
2019,2,Watsonville,111,1,2023/09/01 04:13:58 PM
2019,2,West Menlo Park,1,1,2023/09/01 04:13:58 PM
2019,2,Woodside,819,9,2023/09/01 04:13:58 PM
2019,3,Alameda,30,2,2023/09/01 04:13:58 PM
2019,3,Aptos,298,10,2023/09/01 04:13:58 PM
2019,3,Atherton,"1,801",6,2023/09/01 04:13:58 PM
2019,3,Belmont,532,3,2023/09/01 04:13:58 PM
2019,3,Ben Lomond,109,5,2023/09/01 04:13:58 PM
2019,3,Benicia,1,1,2023/09/01 04:13:58 PM
2019,3,Berkeley,81,2,2023/09/01 04:13:58 PM
2019,3,Bonny Doon,53,2,2023/09/01 04:13:58 PM
2019,3,Boulder Creek,89,6,2023/09/01 04:13:58 PM
2019,3,Brisbane,"1,627",21,2023/09/01 04:13:58 PM
2019,3,Brookdale,4,1,2023/09/01 04:13:58 PM
2019,3,Burlingame,86,9,2023/09/01 04:13:58 PM
2019,3,Capitola,"2,432",19,2023/09/01 04:13:58 PM
2019,3,Carmel Valley,105,3,2023/09/01 04:13:58 PM
2019,3,Castro Valley,1,1,2023/09/01 04:13:58 PM
2019,3,Clarksville,3,1,2023/09/01 04:13:58 PM
2019,3,Cupertino,"1,401",2,2023/09/01 04:13:58 PM
2019,3,Daly City,"1,236",7,2023/09/01 04:13:58 PM
2019,3,Danville,2,1,2023/09/01 04:13:58 PM
2019,3,East Palo Alto,80,2,2023/09/01 04:13:58 PM
2019,3,El Cerrito,99,2,2023/09/01 04:13:58 PM
2019,3,El Granada,460,2,2023/09/01 04:13:58 PM
2019,3,Emerald Hills,937,7,2023/09/01 04:13:58 PM
2019,3,Felton,731,11,2023/09/01 04:13:58 PM
2019,3,Foster City,283,12,2023/09/01 04:13:58 PM
2019,3,Half Moon Bay,14,4,2023/09/01 04:13:58 PM
2019,3,Hayward,442,1,2023/09/01 04:13:58 PM
2019,3,Hillsborough,"1,617",4,2023/09/01 04:13:58 PM
2019,3,Kensington,11,1,2023/09/01 04:13:58 PM
2019,3,Lafayette,44,2,2023/09/01 04:13:58 PM
2019,3,Los Altos,"18,527",132,2023/09/01 04:13:58 PM
2019,3,Los Altos Hills,"8,530",26,2023/09/01 04:13:58 PM
2019,3,Los Gatos,"13,000",110,2023/09/01 04:13:58 PM
2019,3,Menlo Park,"2,034",22,2023/09/01 04:13:58 PM
2019,3,Millbrae,10,3,2023/09/01 04:13:58 PM
2019,3,Montara,292,1,2023/09/01 04:13:58 PM
2019,3,Moraga,207,3,2023/09/01 04:13:58 PM
2019,3,Morgan Hill,65,2,2023/09/01 04:13:58 PM
2019,3,Moss Beach,2,1,2023/09/01 04:13:58 PM
2019,3,Mountain View,"4,774",37,2023/09/01 04:13:58 PM
2019,3,Oakland,"8,772",33,2023/09/01 04:13:58 PM
2019,3,Orinda,125,3,2023/09/01 04:13:58 PM
2019,3,Pacifica,"3,806",32,2023/09/01 04:13:58 PM
2019,3,Palo Alto,"46,837",189,2023/09/01 04:13:58 PM
2019,3,Penngrove,45,1,2023/09/01 04:13:58 PM
2019,3,Piedmont,30,1,2023/09/01 04:13:58 PM
2019,3,Pinole,296,1,2023/09/01 04:13:58 PM
2019,3,Portola Valley,"6,287",31,2023/09/01 04:13:58 PM
2019,3,Redwood City,"1,669",14,2023/09/01 04:13:58 PM
2019,3,Richmond,"1,982",3,2023/09/01 04:13:58 PM
2019,3,San Bruno,839,11,2023/09/01 04:13:58 PM
2019,3,San Carlos,140,5,2023/09/01 04:13:58 PM
2019,3,San Francisco,"9,160",50,2023/09/01 04:13:58 PM
2019,3,San Mateo,"1,452",12,2023/09/01 04:13:58 PM
2019,3,Santa Clara,1,1,2023/09/01 04:13:58 PM
2019,3,Santa Cruz,"17,755",117,2023/09/01 04:13:58 PM
2019,3,Saratoga,528,5,2023/09/01 04:13:58 PM
2019,3,Scotts Valley,"10,105",64,2023/09/01 04:13:58 PM
2019,3,Soquel,"10,036",74,2023/09/01 04:13:58 PM
2019,3,South San Francisco,42,11,2023/09/01 04:13:58 PM
2019,3,Stanford,949,4,2023/09/01 04:13:58 PM
2019,3,Sunnyvale,"1,002",7,2023/09/01 04:13:58 PM
2019,3,Union City,602,1,2023/09/01 04:13:58 PM
2019,3,Watsonville,57,1,2023/09/01 04:13:58 PM
2019,3,West Menlo Park,6,1,2023/09/01 04:13:58 PM
2019,3,Woodside,"1,128",10,2023/09/01 04:13:58 PM
2019,4,Alameda,6,1,2023/09/01 04:13:58 PM
2019,4,Aptos,355,10,2023/09/01 04:13:58 PM
2019,4,Atherton,"1,215",5,2023/09/01 04:13:58 PM
2019,4,Belmont,493,5,2023/09/01 04:13:58 PM
2019,4,Ben Lomond,37,4,2023/09/01 04:13:58 PM
2019,4,Berkeley,30,2,2023/09/01 04:13:58 PM
2019,4,Bonny Doon,89,2,2023/09/01 04:13:58 PM
2019,4,Boulder Creek,157,6,2023/09/01 04:13:58 PM
2019,4,Brisbane,"2,849",34,2023/09/01 04:13:58 PM
2019,4,Brookdale,8,1,2023/09/01 04:13:58 PM
2019,4,Burlingame,245,16,2023/09/01 04:13:58 PM
2019,4,Capitola,"2,740",18,2023/09/01 04:13:58 PM
2019,4,Carmel Valley,74,3,2023/09/01 04:13:58 PM
2019,4,Castro Valley,2,1,2023/09/01 04:13:58 PM
2019,4,Cupertino,924,1,2023/09/01 04:13:58 PM
2019,4,Daly City,"1,181",8,2023/09/01 04:13:58 PM
2019,4,East Palo Alto,114,3,2023/09/01 04:13:58 PM
2019,4,El Granada,803,2,2023/09/01 04:13:58 PM
2019,4,Emerald Hills,602,8,2023/09/01 04:13:58 PM
2019,4,Felton,824,13,2023/09/01 04:13:58 PM
2019,4,Foster City,763,15,2023/09/01 04:13:58 PM
2019,4,Fremont,5,1,2023/09/01 04:13:58 PM
2019,4,Half Moon Bay,21,5,2023/09/01 04:13:58 PM
2019,4,Hayward,191,1,2023/09/01 04:13:58 PM
2019,4,Hillsborough,"1,005",7,2023/09/01 04:13:58 PM
2019,4,La Honda,44,1,2023/09/01 04:13:58 PM
2019,4,Lafayette,31,2,2023/09/01 04:13:58 PM
2019,4,Los Altos,"22,871",131,2023/09/01 04:13:58 PM
2019,4,Los Altos Hills,"11,063",26,2023/09/01 04:13:58 PM
2019,4,Los Gatos,"21,493",123,2023/09/01 04:13:58 PM
2019,4,Menlo Park,"1,628",21,2023/09/01 04:13:58 PM
2019,4,Millbrae,12,5,2023/09/01 04:13:58 PM
2019,4,Montara,617,2,2023/09/01 04:13:58 PM
2019,4,Moraga,346,5,2023/09/01 04:13:58 PM
2019,4,Morgan Hill,221,2,2023/09/01 04:13:58 PM
2019,4,Moss Beach,4,1,2023/09/01 04:13:58 PM
2019,4,Mountain View,"4,995",35,2023/09/01 04:13:58 PM
2019,4,Oakland,"11,145",29,2023/09/01 04:13:58 PM
2019,4,Orinda,99,1,2023/09/01 04:13:58 PM
2019,4,Pacifica,"4,130",48,2023/09/01 04:13:58 PM
2019,4,Palo Alto,"48,408",198,2023/09/01 04:13:58 PM
2019,4,Penngrove,13,1,2023/09/01 04:13:58 PM
2019,4,Piedmont,15,1,2023/09/01 04:13:58 PM
2019,4,Pinole,535,1,2023/09/01 04:13:58 PM
2019,4,Portola Valley,"6,999",30,2023/09/01 04:13:58 PM
2019,4,Redwood City,"1,369",8,2023/09/01 04:13:58 PM
2019,4,Richmond,"2,481",4,2023/09/01 04:13:58 PM
2019,4,San Bruno,484,7,2023/09/01 04:13:58 PM
2019,4,San Carlos,211,3,2023/09/01 04:13:58 PM
2019,4,San Francisco,"7,410",45,2023/09/01 04:13:58 PM
2019,4,San Jose,1,1,2023/09/01 04:13:58 PM
2019,4,San Mateo,"2,029",13,2023/09/01 04:13:58 PM
2019,4,Santa Cruz,"23,938",125,2023/09/01 04:13:58 PM
2019,4,Saratoga,503,6,2023/09/01 04:13:58 PM
2019,4,Scotts Valley,"12,954",72,2023/09/01 04:13:58 PM
2019,4,Soquel,"12,249",81,2023/09/01 04:13:58 PM
2019,4,South San Francisco,28,14,2023/09/01 04:13:58 PM
2019,4,Stanford,"1,000",4,2023/09/01 04:13:58 PM
2019,4,Sunnyvale,"1,047",8,2023/09/01 04:13:58 PM
2019,4,Union City,599,1,2023/09/01 04:13:58 PM
2019,4,Watsonville,103,1,2023/09/01 04:13:58 PM
2019,4,Woodside,"1,233",9,2023/09/01 04:13:58 PM
2019,5,Alameda,42,2,2023/09/01 04:13:58 PM
2019,5,Aptos,326,8,2023/09/01 04:13:58 PM
2019,5,Atherton,324,5,2023/09/01 04:13:58 PM
2019,5,Belmont,358,2,2023/09/01 04:13:58 PM
2019,5,Ben Lomond,38,5,2023/09/01 04:13:58 PM
2019,5,Berkeley,41,3,2023/09/01 04:13:58 PM
2019,5,Bonny Doon,97,2,2023/09/01 04:13:58 PM
2019,5,Boulder Creek,206,6,2023/09/01 04:13:58 PM
2019,5,Brisbane,"3,391",28,2023/09/01 04:13:58 PM
2019,5,Brookdale,10,1,2023/09/01 04:13:58 PM
2019,5,Burlingame,185,4,2023/09/01 04:13:58 PM
2019,5,Capitola,"1,891",18,2023/09/01 04:13:58 PM
2019,5,Carmel Valley,31,2,2023/09/01 04:13:58 PM
2019,5,Castro Valley,14,1,2023/09/01 04:13:58 PM
2019,5,Cupertino,724,1,2023/09/01 04:13:58 PM
2019,5,Daly City,"1,015",8,2023/09/01 04:13:58 PM
2019,5,Danville,27,1,2023/09/01 04:13:58 PM
2019,5,East Palo Alto,50,3,2023/09/01 04:13:58 PM
2019,5,El Granada,365,2,2023/09/01 04:13:58 PM
2019,5,Emerald Hills,616,10,2023/09/01 04:13:58 PM
2019,5,Felton,697,10,2023/09/01 04:13:58 PM
2019,5,Foster City,396,12,2023/09/01 04:13:58 PM
2019,5,Fremont,116,2,2023/09/01 04:13:58 PM
2019,5,Gualala,2,1,2023/09/01 04:13:58 PM
2019,5,Half Moon Bay,203,4,2023/09/01 04:13:58 PM
2019,5,Hayward,178,1,2023/09/01 04:13:58 PM
2019,5,Hillsborough,185,3,2023/09/01 04:13:58 PM
2019,5,La Honda,7,1,2023/09/01 04:13:58 PM
2019,5,Lafayette,4,2,2023/09/01 04:13:58 PM
2019,5,Los Altos,"20,469",135,2023/09/01 04:13:58 PM
2019,5,Los Altos Hills,"12,418",26,2023/09/01 04:13:58 PM
2019,5,Los Gatos,"18,214",115,2023/09/01 04:13:58 PM
2019,5,Menlo Park,"1,507",26,2023/09/01 04:13:58 PM
2019,5,Montara,945,2,2023/09/01 04:13:58 PM
2019,5,Monte Sereno,1,1,2023/09/01 04:13:58 PM
2019,5,Moraga,481,4,2023/09/01 04:13:58 PM
2019,5,Morgan Hill,174,2,2023/09/01 04:13:58 PM
2019,5,Moss Beach,4,1,2023/09/01 04:13:58 PM
2019,5,Mountain View,"5,105",41,2023/09/01 04:13:58 PM
2019,5,Oakland,"9,853",30,2023/09/01 04:13:58 PM
2019,5,Orinda,313,2,2023/09/01 04:13:58 PM
2019,5,Pacifica,"4,324",37,2023/09/01 04:13:58 PM
2019,5,Palo Alto,"48,215",189,2023/09/01 04:13:58 PM
2019,5,Penngrove,21,1,2023/09/01 04:13:58 PM
2019,5,Piedmont,17,1,2023/09/01 04:13:58 PM
2019,5,Pinole,357,2,2023/09/01 04:13:58 PM
2019,5,Portola Valley,"7,898",33,2023/09/01 04:13:58 PM
2019,5,Redwood City,"1,638",10,2023/09/01 04:13:58 PM
2019,5,Richmond,"2,595",3,2023/09/01 04:13:58 PM
2019,5,San Bruno,320,8,2023/09/01 04:13:58 PM
2019,5,San Carlos,216,3,2023/09/01 04:13:58 PM
2019,5,San Francisco,"7,096",32,2023/09/01 04:13:58 PM
2019,5,San Jose,1,1,2023/09/01 04:13:58 PM
2019,5,San Mateo,"2,063",15,2023/09/01 04:13:58 PM
2019,5,Santa Clara,7,1,2023/09/01 04:13:58 PM
2019,5,Santa Cruz,"20,570",118,2023/09/01 04:13:58 PM
2019,5,Saratoga,509,4,2023/09/01 04:13:58 PM
2019,5,Scotts Valley,"12,364",64,2023/09/01 04:13:58 PM
2019,5,Soquel,"8,937",74,2023/09/01 04:13:58 PM
2019,5,South San Francisco,71,11,2023/09/01 04:13:58 PM
2019,5,Stanford,"1,048",4,2023/09/01 04:13:58 PM
2019,5,Sunnyvale,523,9,2023/09/01 04:13:58 PM
2019,5,Union City,566,1,2023/09/01 04:13:58 PM
2019,5,Watsonville,153,1,2023/09/01 04:13:58 PM
2019,5,West Menlo Park,4,1,2023/09/01 04:13:58 PM
2019,5,Woodside,"1,741",10,2023/09/01 04:13:58 PM
2019,6,Alameda,4,1,2023/09/01 04:13:58 PM
2019,6,Aptos,281,8,2023/09/01 04:13:58 PM
2019,6,Atherton,"1,331",5,2023/09/01 04:13:58 PM
2019,6,Belmont,206,2,2023/09/01 04:13:58 PM
2019,6,Ben Lomond,21,4,2023/09/01 04:13:58 PM
2019,6,Berkeley,"1,304",3,2023/09/01 04:13:58 PM
2019,6,Bonny Doon,83,2,2023/09/01 04:13:58 PM
2019,6,Boulder Creek,186,6,2023/09/01 04:13:58 PM
2019,6,Brisbane,"2,668",22,2023/09/01 04:13:58 PM
2019,6,Brookdale,4,1,2023/09/01 04:13:58 PM
2019,6,Burlingame,240,12,2023/09/01 04:13:58 PM
2019,6,Capitola,"2,013",15,2023/09/01 04:13:58 PM
2019,6,Carmel Valley,13,3,2023/09/01 04:13:58 PM
2019,6,Castro Valley,2,1,2023/09/01 04:13:58 PM
2019,6,Cupertino,332,1,2023/09/01 04:13:58 PM
2019,6,Daly City,929,6,2023/09/01 04:13:58 PM
2019,6,Danville,12,1,2023/09/01 04:13:58 PM
2019,6,East Palo Alto,30,2,2023/09/01 04:13:58 PM
2019,6,El Granada,568,1,2023/09/01 04:13:58 PM
2019,6,Emerald Hills,244,9,2023/09/01 04:13:58 PM
2019,6,Felton,722,10,2023/09/01 04:13:58 PM
2019,6,Foster City,405,8,2023/09/01 04:13:58 PM
2019,6,Fremont,585,2,2023/09/01 04:13:58 PM
2019,6,Half Moon Bay,78,1,2023/09/01 04:13:58 PM
2019,6,Hayward,289,1,2023/09/01 04:13:58 PM
2019,6,Hillsborough,105,11,2023/09/01 04:13:58 PM
2019,6,La Honda,2,1,2023/09/01 04:13:58 PM
2019,6,Lafayette,13,2,2023/09/01 04:13:58 PM
2019,6,Los Altos,"18,554",131,2023/09/01 04:13:58 PM
2019,6,Los Altos Hills,"10,173",26,2023/09/01 04:13:58 PM
2019,6,Los Gatos,"15,677",121,2023/09/01 04:13:58 PM
2019,6,Menlo Park,"1,228",20,2023/09/01 04:13:58 PM
2019,6,Millbrae,5,4,2023/09/01 04:13:58 PM
2019,6,Montara,226,1,2023/09/01 04:13:58 PM
2019,6,Moraga,202,4,2023/09/01 04:13:58 PM
2019,6,Morgan Hill,280,2,2023/09/01 04:13:58 PM
2019,6,Moss Beach,4,1,2023/09/01 04:13:58 PM
2019,6,Mountain View,"4,326",38,2023/09/01 04:13:58 PM
2019,6,Oakland,"7,810",27,2023/09/01 04:13:58 PM
2019,6,Orinda,158,2,2023/09/01 04:13:58 PM
2019,6,Pacifica,"4,424",36,2023/09/01 04:13:58 PM
2019,6,Palo Alto,"47,775",223,2023/09/01 04:13:58 PM
2019,6,Penngrove,20,1,2023/09/01 04:13:58 PM
2019,6,Piedmont,5,1,2023/09/01 04:13:58 PM
2019,6,Pinole,64,1,2023/09/01 04:13:58 PM
2019,6,Portola Valley,"6,892",34,2023/09/01 04:13:58 PM
2019,6,Redwood City,"1,044",12,2023/09/01 04:13:58 PM
2019,6,Richmond,"2,405",3,2023/09/01 04:13:58 PM
2019,6,San Bruno,567,10,2023/09/01 04:13:58 PM
2019,6,San Carlos,126,5,2023/09/01 04:13:58 PM
2019,6,San Francisco,"5,944",34,2023/09/01 04:13:58 PM
2019,6,San Jose,3,1,2023/09/01 04:13:58 PM
2019,6,San Mateo,"2,717",18,2023/09/01 04:13:58 PM
2019,6,Santa Clara,7,1,2023/09/01 04:13:58 PM
2019,6,Santa Cruz,"19,131",114,2023/09/01 04:13:58 PM
2019,6,Saratoga,327,8,2023/09/01 04:13:58 PM
2019,6,Scotts Valley,"10,960",68,2023/09/01 04:13:58 PM
2019,6,Soquel,"9,591",72,2023/09/01 04:13:58 PM
2019,6,South San Francisco,103,11,2023/09/01 04:13:58 PM
2019,6,Stanford,717,6,2023/09/01 04:13:58 PM
2019,6,Sunnyvale,410,7,2023/09/01 04:13:58 PM
2019,6,Union City,444,1,2023/09/01 04:13:58 PM
2019,6,Watsonville,129,1,2023/09/01 04:13:58 PM
2019,6,West Menlo Park,3,1,2023/09/01 04:13:58 PM
2019,6,Woodside,950,8,2023/09/01 04:13:58 PM
2019,7,Aptos,477,10,2023/09/01 04:13:58 PM
2019,7,Atherton,"1,601",6,2023/09/01 04:13:58 PM
2019,7,Belmont,328,3,2023/09/01 04:13:58 PM
2019,7,Ben Lomond,36,5,2023/09/01 04:13:58 PM
2019,7,Berkeley,"1,039",4,2023/09/01 04:13:58 PM
2019,7,Bonny Doon,57,2,2023/09/01 04:13:58 PM
2019,7,Boulder Creek,228,9,2023/09/01 04:13:58 PM
2019,7,Brisbane,"1,680",20,2023/09/01 04:13:58 PM
2019,7,Brookdale,6,1,2023/09/01 04:13:58 PM
2019,7,Burlingame,210,13,2023/09/01 04:13:58 PM
2019,7,Capitola,"2,452",18,2023/09/01 04:13:58 PM
2019,7,Carmel Valley,67,2,2023/09/01 04:13:58 PM
2019,7,Castro Valley,17,1,2023/09/01 04:13:58 PM
2019,7,Cupertino,693,1,2023/09/01 04:13:58 PM
2019,7,Daly City,994,6,2023/09/01 04:13:58 PM
2019,7,Danville,2,1,2023/09/01 04:13:58 PM
2019,7,East Palo Alto,1,1,2023/09/01 04:13:58 PM
2019,7,El Granada,974,1,2023/09/01 04:13:58 PM
2019,7,Emerald Hills,"4,580",10,2023/09/01 04:13:58 PM
2019,7,Felton,932,13,2023/09/01 04:13:58 PM
2019,7,Foster City,853,18,2023/09/01 04:13:58 PM
2019,7,Fremont,180,1,2023/09/01 04:13:58 PM
2019,7,Hayward,46,1,2023/09/01 04:13:58 PM
2019,7,Hillsborough,90,7,2023/09/01 04:13:58 PM
2019,7,Lafayette,115,1,2023/09/01 04:13:58 PM
2019,7,Los Altos,"18,144",117,2023/09/01 04:13:58 PM
2019,7,Los Altos Hills,"10,240",26,2023/09/01 04:13:58 PM
2019,7,Los Gatos,"20,549",121,2023/09/01 04:13:58 PM
2019,7,Menlo Park,"1,608",22,2023/09/01 04:13:58 PM
2019,7,Millbrae,14,4,2023/09/01 04:13:58 PM
2019,7,Montara,738,1,2023/09/01 04:13:58 PM
2019,7,Moraga,281,3,2023/09/01 04:13:58 PM
2019,7,Morgan Hill,299,2,2023/09/01 04:13:58 PM
2019,7,Moss Beach,2,1,2023/09/01 04:13:58 PM
2019,7,Mountain View,"3,756",32,2023/09/01 04:13:58 PM
2019,7,Oakland,"7,117",26,2023/09/01 04:13:58 PM
2019,7,Orinda,157,2,2023/09/01 04:13:58 PM
2019,7,Pacifica,"3,133",29,2023/09/01 04:13:58 PM
2019,7,Palo Alto,"45,740",192,2023/09/01 04:13:58 PM
2019,7,Penngrove,6,1,2023/09/01 04:13:58 PM
2019,7,Portola Valley,"7,251",33,2023/09/01 04:13:58 PM
2019,7,Redwood City,"1,902",12,2023/09/01 04:13:58 PM
2019,7,Richmond,"3,271",4,2023/09/01 04:13:58 PM
2019,7,San Bruno,565,9,2023/09/01 04:13:58 PM
2019,7,San Carlos,161,3,2023/09/01 04:13:58 PM
2019,7,San Francisco,"4,598",37,2023/09/01 04:13:58 PM
2019,7,San Jose,4,1,2023/09/01 04:13:58 PM
2019,7,San Mateo,"2,413",22,2023/09/01 04:13:58 PM
2019,7,Santa Clara,10,1,2023/09/01 04:13:58 PM
2019,7,Santa Cruz,"24,294",121,2023/09/01 04:13:58 PM
2019,7,Saratoga,336,4,2023/09/01 04:13:58 PM
2019,7,Scotts Valley,"13,134",67,2023/09/01 04:13:58 PM
2019,7,Soquel,"10,978",71,2023/09/01 04:13:58 PM
2019,7,South San Francisco,195,17,2023/09/01 04:13:58 PM
2019,7,Stanford,518,5,2023/09/01 04:13:58 PM
2019,7,Sunnyvale,348,5,2023/09/01 04:13:58 PM
2019,7,Union City,381,1,2023/09/01 04:13:58 PM
2019,7,Watsonville,174,1,2023/09/01 04:13:58 PM
2019,7,West Menlo Park,2,1,2023/09/01 04:13:58 PM
2019,7,Woodside,"1,394",11,2023/09/01 04:13:58 PM
2022,12,San Francisco,"2,406",16,2023/09/01 04:13:58 PM
2022,12,Daly City,"1,901",7,2023/09/01 04:13:58 PM
2022,12,Sunnyvale,120,3,2023/09/01 04:13:58 PM
2022,12,Mountain View,"3,088",17,2023/09/01 04:13:58 PM
2019,9,Palo Alto,"32,656",197,2023/09/01 04:13:58 PM
2019,9,Burlingame,140,5,2023/09/01 04:13:58 PM
2019,9,South San Francisco,387,27,2023/09/01 04:13:58 PM
2019,9,San Mateo,947,19,2023/09/01 04:13:58 PM
2019,8,Woodside,"1,636",10,2023/09/01 04:13:58 PM
2019,12,Moraga,552,4,2023/09/01 04:13:58 PM
2019,10,Los Gatos,"12,227",93,2023/09/01 04:13:58 PM
2019,10,Portola Valley,"6,891",31,2023/09/01 04:13:58 PM
2019,8,Burlingame,278,12,2023/09/01 04:13:58 PM
2019,10,Richmond,"2,890",4,2023/09/01 04:13:58 PM
2019,9,Los Altos Hills,"9,743",27,2023/09/01 04:13:58 PM
2019,8,South San Francisco,362,11,2023/09/01 04:13:58 PM
2019,12,Los Gatos,"10,196",86,2023/09/01 04:13:58 PM
2019,12,San Bruno,113,7,2023/09/01 04:13:58 PM
2019,12,Mountain View,"3,053",30,2023/09/01 04:13:58 PM
2020,12,San Bruno,13,5,2023/09/01 04:13:58 PM
2021,3,Millbrae,15,5,2023/09/01 04:13:58 PM
2021,7,Pacifica,712,14,2023/09/01 04:13:58 PM
2019,10,Menlo Park,"1,385",23,2023/09/01 04:13:58 PM
2019,12,Capitola,"1,361",14,2023/09/01 04:13:58 PM
2019,8,Foster City,824,16,2023/09/01 04:13:58 PM
2020,10,Portola Valley,"12,308",24,2023/09/01 04:13:58 PM
2021,2,Los Gatos,"4,955",51,2023/09/01 04:13:58 PM
